timestamp,condition_id,market_slug,outcome,price,volume_24h
2026-08-22T00:00:00Z,0x180f3446ab3b67,will-russia-capture-kostyantynivka-by-august-15,NO,0.989,23433.00
2026-08-22T00:15:00Z,0x180f3446ab3b67,will-russia-capture-kostyantynivka-by-august-15,NO,0.991,23550.00
2026-08-22T00:30:00Z,0x180f3446ab3b67,will-russia-capture-kostyantynivka-by-august-15,NO,0.992,23800.00
2026-08-22T00:00:00Z,0x89abf7710c22aa,gpt-6-released-by-august-21-2026,NO,0.977,128566.00
2026-08-22T00:15:00Z,0x89abf7710c22aa,gpt-6-released-by-august-21-2026,NO,0.979,129100.00
2026-08-22T00:30:00Z,0x89abf7710c22aa,gpt-6-released-by-august-21-2026,NO,0.981,130200.00
2026-08-22T01:15:00Z,0xsample000001,sample-prediction-market-1,YES,0.510,1012.50
2026-08-22T02:30:00Z,0xsample000002,sample-prediction-market-2,YES,0.520,1025.00
2026-08-22T03:45:00Z,0xsample000003,sample-prediction-market-3,YES,0.530,1037.50
2026-08-22T04:00:00Z,0xsample000004,sample-prediction-market-4,YES,0.540,1050.00
2026-08-22T05:15:00Z,0xsample000005,sample-prediction-market-5,YES,0.550,1062.50
2026-08-22T06:30:00Z,0xsample000006,sample-prediction-market-6,YES,0.560,1075.00
2026-08-22T07:45:00Z,0xsample000007,sample-prediction-market-7,YES,0.570,1087.50
2026-08-22T08:00:00Z,0xsample000008,sample-prediction-market-8,YES,0.580,1100.00
2026-08-22T09:15:00Z,0xsample000009,sample-prediction-market-9,YES,0.590,1112.50
2026-08-22T10:30:00Z,0xsample000010,sample-prediction-market-10,YES,0.600,1125.00
2026-08-22T11:45:00Z,0xsample000011,sample-prediction-market-11,YES,0.610,1137.50
2026-08-22T12:00:00Z,0xsample000012,sample-prediction-market-12,YES,0.620,1150.00
2026-08-22T13:15:00Z,0xsample000013,sample-prediction-market-13,YES,0.630,1162.50
2026-08-22T14:30:00Z,0xsample000014,sample-prediction-market-14,YES,0.640,1175.00
2026-08-22T15:45:00Z,0xsample000015,sample-prediction-market-15,YES,0.650,1187.50
2026-08-22T16:00:00Z,0xsample000016,sample-prediction-market-16,YES,0.660,1200.00
2026-08-22T17:15:00Z,0xsample000017,sample-prediction-market-17,YES,0.670,1212.50
2026-08-22T18:30:00Z,0xsample000018,sample-prediction-market-18,YES,0.680,1225.00
2026-08-22T19:45:00Z,0xsample000019,sample-prediction-market-19,YES,0.690,1237.50
2026-08-22T20:00:00Z,0xsample000020,sample-prediction-market-20,YES,0.700,1250.00
2026-08-22T21:15:00Z,0xsample000021,sample-prediction-market-21,YES,0.710,1262.50
2026-08-22T22:30:00Z,0xsample000022,sample-prediction-market-22,YES,0.720,1275.00
2026-08-22T23:45:00Z,0xsample000023,sample-prediction-market-23,YES,0.730,1287.50
2026-08-22T00:00:00Z,0xsample000024,sample-prediction-market-24,YES,0.740,1300.00
2026-08-22T01:15:00Z,0xsample000025,sample-prediction-market-25,YES,0.750,1312.50
2026-08-22T02:30:00Z,0xsample000026,sample-prediction-market-26,YES,0.760,1325.00
2026-08-22T03:45:00Z,0xsample000027,sample-prediction-market-27,YES,0.770,1337.50
2026-08-22T04:00:00Z,0xsample000028,sample-prediction-market-28,YES,0.780,1350.00
2026-08-22T05:15:00Z,0xsample000029,sample-prediction-market-29,YES,0.790,1362.50
2026-08-22T06:30:00Z,0xsample000030,sample-prediction-market-30,YES,0.800,1375.00
2026-08-22T07:45:00Z,0xsample000031,sample-prediction-market-31,YES,0.810,1387.50
2026-08-22T08:00:00Z,0xsample000032,sample-prediction-market-32,YES,0.820,1400.00
2026-08-22T09:15:00Z,0xsample000033,sample-prediction-market-33,YES,0.830,1412.50
2026-08-22T10:30:00Z,0xsample000034,sample-prediction-market-34,YES,0.840,1425.00
2026-08-22T11:45:00Z,0xsample000035,sample-prediction-market-35,YES,0.850,1437.50
2026-08-22T12:00:00Z,0xsample000036,sample-prediction-market-36,YES,0.860,1450.00
2026-08-22T13:15:00Z,0xsample000037,sample-prediction-market-37,YES,0.870,1462.50
2026-08-22T14:30:00Z,0xsample000038,sample-prediction-market-38,YES,0.880,1475.00
2026-08-22T15:45:00Z,0xsample000039,sample-prediction-market-39,YES,0.890,1487.50
2026-08-22T16:00:00Z,0xsample000040,sample-prediction-market-40,YES,0.500,1500.00
2026-08-22T17:15:00Z,0xsample000041,sample-prediction-market-41,YES,0.510,1512.50
2026-08-22T18:30:00Z,0xsample000042,sample-prediction-market-42,YES,0.520,1525.00
2026-08-22T19:45:00Z,0xsample000043,sample-prediction-market-43,YES,0.530,1537.50
2026-08-22T20:00:00Z,0xsample000044,sample-prediction-market-44,YES,0.540,1550.00
2026-08-22T21:15:00Z,0xsample000045,sample-prediction-market-45,YES,0.550,1562.50
2026-08-22T22:30:00Z,0xsample000046,sample-prediction-market-46,YES,0.560,1575.00
2026-08-22T23:45:00Z,0xsample000047,sample-prediction-market-47,YES,0.570,1587.50
2026-08-22T00:00:00Z,0xsample000048,sample-prediction-market-48,YES,0.580,1600.00
2026-08-22T01:15:00Z,0xsample000049,sample-prediction-market-49,YES,0.590,1612.50
2026-08-22T02:30:00Z,0xsample000050,sample-prediction-market-0,YES,0.600,1625.00
2026-08-22T03:45:00Z,0xsample000051,sample-prediction-market-1,YES,0.610,1637.50
2026-08-22T04:00:00Z,0xsample000052,sample-prediction-market-2,YES,0.620,1650.00
2026-08-22T05:15:00Z,0xsample000053,sample-prediction-market-3,YES,0.630,1662.50
2026-08-22T06:30:00Z,0xsample000054,sample-prediction-market-4,YES,0.640,1675.00
2026-08-22T07:45:00Z,0xsample000055,sample-prediction-market-5,YES,0.650,1687.50
2026-08-22T08:00:00Z,0xsample000056,sample-prediction-market-6,YES,0.660,1700.00
2026-08-22T09:15:00Z,0xsample000057,sample-prediction-market-7,YES,0.670,1712.50
2026-08-22T10:30:00Z,0xsample000058,sample-prediction-market-8,YES,0.680,1725.00
2026-08-22T11:45:00Z,0xsample000059,sample-prediction-market-9,YES,0.690,1737.50
